Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JULY 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,ANNUALTOTAL,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG5LU072529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"PONY.AI, INC.",AVT032,JTDKARFU5J3549486,0,539,740,460,377,0,0,0,0,0,0,0,0,2116,,,,,
"PONY.AI, INC.",AVT032,JTDKARFU2J3060995,0,719,1206,1091,501,0,0,0,0,0,0,0,0,3517,,,,,
"PONY.AI, INC.",AVT032,KM8K31AG9JU000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG4KU030836,0,1821,1941,2066,1093,0,632,394,452,971,530,458,1744,12102,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG4KU030822,1,1645,2635,2028,1179,0,470,547,612,1115,1050,921,1133,13335,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG7KU030894,1,1646,2307,2355,1104,0,405,851,1138,1335,2161,1439,1166,15907,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG5KU030909,0,992,2126,1316,1178,0,13,94,551,39,767,616,1126,8818,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG2KU030916,1,1621,1876,1823,1067,85,148,926,1748,1902,1302,1592,1892,15982,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG9KU030248,1,1480,1227,1814,879,81,260,726,1445,1669,1155,1394,1243,13373,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG7KU030829,2,1425,1702,1515,771,103,0,0,66,768,1105,1139,956,9550,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG6KU030241,1,1595,1729,1510,496,0,87,295,0,1500,1442,1468,178,10300,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG6KU030255,0,1269,1879,1332,890,0,205,44,868,1552,1061,920,836,10856,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG0KU030901,1,1552,2175,2254,1166,93,451,1267,1313,666,687,680,394,12698,,,,,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3LN6L5LU9HR650658,23,0,73,59,28,0,0,0,0,0,0,0,24,184,,,,,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3LN6L5LU0HR663007,29,25,0,0,0,146,677,163,0,0,0,0,64,1075,,,,,
"QUALCOMM TECHNOLOGIES, INC.",AVT047,3LN6L5MU1JR627234,38,69,15,199,66,0,0,53,0,46,20,0,0,468,,,,,
Ridecell Inc,AVT062,3FA6P0RU5JR110979,189,0,7.63,0,26.7,0,0,0,0,2.2,48.2,62.9,0,147.63,,,,,
"SF Motors, Inc.",AVT049,3LN6L5MU5HR665513,13,11.68,0,0,86.98,0,0,0,38.09,0,9.51,0,0,146.26,,,,,
"SF Motors, Inc.",AVT049,3LN6L5LU4JR627181,48,42.98,0,34.53,0,0,0,0,48.24,0,18.53,561.13,23.02,728.43,,,,,
"Telenav, Inc.",AVT019,3LN6L2LU7GR627456,2,1,1,2,0,0,0,0,0,0,0,0,0,4,,,,,
Toyota Research Institute,AVT050,JTHDU1EF6G5020094,164,123,120,56,28,0,0,0,0,0,0,0,0,327,,,,,
Toyota Research Institute,AVT050,JTHDU1EF0G5020107,190,53,146,55,26,0,0,0,0,0,0,0,0,280,,,,,
Toyota Research Institute,AVT050,JTHDU1EF3G5020098,228,112,115,85,132,0,0,0,0,0,0,0,0,444,,,,,
Toyota Research Institute,AVT050,JTHDU1EF0G5020124,218,101,107,35,50,0,0,0,0,0,0,0,0,293,,,,,
Toyota Research Institute,AVT050,JTHCYLFF9J5001363,191,0,179,53,93,0,0,0,0,0,0,0,0,325,,,,,
Toyota Research Institute,AVT050,JTHCYLFF0J5001364,114,0,0,0,0,0,0,0,62,85,102,184,150,583,,,,,
Toyota Research Institute,AVT050,JTHCYLFFXJ5001291,110,0,0,0,0,0,0,0,0,51,199,190,183,623,,,,,
"Udelv, Inc",AVT029,NM0LS7F79J1360493,49,34,8,8,16,0,0,0,0,0,0,0,0,66,,,,,
"Udelv, Inc",AVT029,NM0LE7F71J1361953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Valeo North America Inc.,AVT017,SALVN2BG7FH960125,99,0,0,0,0,0,0,0,0,0,0,7,42,49,,,,,
Valeo North America Inc.,AVT017,1V2NR2CA2JC509341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K71HR534642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K73HR534643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K78HR534637,0,138,148.7,122.3,0,0,0,0,0,0,0,0,0,409,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR534641,0,0,143.8,269.5,532.1,0,0,0,0,0,0,0,0,945.4,,,,,
Waymo LLC,AVT003,2C4RC1K74HR534652,0,138.7,582.1,376.9,433.2,0,0,0,0,0,0,0,0,1531.1,,,,,
Waymo LLC,AVT003,2C4RC1K75HR534644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K74HR534635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K79HR534680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K73HR534691,0,1085.4,1010.8,428.7,717,0,0,0,769.3,1153,0,93.6,130.6,5388.4,,,,,
Waymo LLC,AVT003,2C4RC1K72HR534701,0,1238,1021.4,646.4,369.9,0,0,0,0,0,0,0,0,3275.7,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR534672,0,27.9,0.4,1117.1,0,0,0,0,0,0,0,0,0,1145.4,,,,,
Waymo LLC,AVT003,2C4RC1K77HR534676,0,0,4.7,0,192.1,0,0,0,0,1.1,0.6,0,3.6,202.1,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR534686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K78HR534640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K73HR534674,0,380.3,412,347.6,1034.6,0,0,0,0,21.3,327.5,514.9,37.8,3076,,,,,
Waymo LLC,AVT003,2C4RC1K78HR534699,0,144.3,123,0,100.4,0,0,0,0,0,20.4,0,0,388.1,,,,,
Waymo LLC,AVT003,2C4RC1K7XHR534705,1,79.1,100.8,114.4,23,0,0,0,29.2,1922.9,1157.1,503,309,4238.5,,,,,
Waymo LLC,AVT003,2C4RC1K70HR534664,0,1381.1,987.8,159.5,130.2,0,0,0,0,0,0,0,0,2658.6,,,,,
Waymo LLC,AVT003,2C4RC1K74HR534666,0,41.9,236.1,406.4,154.8,0,0,0,0,0,0,0,0,839.1,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534703,0,1009.8,821.5,1692.9,177.7,0,0,0.6,0,0,0,0,0,3702.5,,,,,
Waymo LLC,AVT003,2C4RC1K73HR534710,0,0,315.9,336.6,319.1,0,0,0,0,0,0,0,0,971.6,,,,,
Waymo LLC,AVT003,2C4RC1K78HR534704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K79HR534677,0,356,573.2,529.5,130.8,0,0,0,0,0,0,0,0,1589.5,,,,,
Waymo LLC,AVT003,2C4RC1K73HR534660,0,812.6,1332.3,2515.1,425.3,0,0,0,0,0.8,1104,2707.6,21.1,8918.9,,,,,
Waymo LLC,AVT003,2C4RC1K71HR534687,0,949.7,999.7,0,0,0,0,132,695.5,239.5,0,444.7,0,3461.2,,,,,
Waymo LLC,AVT003,2C4RC1K77HR534645,0,900.4,921.8,417.1,415.1,0,0,0,257.4,219.6,0,0,0,3131.5,,,,,
Waymo LLC,AVT003,2C4RC1K72HR534665,0,167.7,733.8,1575.5,13.2,0,0,428.3,206.8,2469.5,914.5,0,0,6509.4,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534670,0,533.8,763.3,1607.7,448.1,0,0,0,3.2,0,0,0,0,3356.2,,,,,
Waymo LLC,AVT003,2C4RC1K77HR534662,0,749.2,988.6,462.7,316.8,0,0,0,0,0,0,242,185.7,2945,,,,,
Waymo LLC,AVT003,2C4RC1K77HR534659,0,921.8,1088.3,265.5,403.4,0,0,0,0,0,0,0,0,2679,,,,,
Waymo LLC,AVT003,2C4RC1K70HR534647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K79HR534694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K72HR534696,0,630.2,817.1,601.2,266,0,0,0,638.2,924.1,536.5,20.1,5.1,4438.5,,,,,
Waymo LLC,AVT003,2C4RC1K70HR534650,0,194.8,171.8,80,15.6,0,0,0,0,0,245.7,189.2,401.9,1299.1,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K74HR534697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVT003,2C4RC1K70HR534681,0,848.6,837.7,1210.5,387.9,0,0,597.9,1415.9,0,77.1,160.4,62.4,5598.4,,,,,
Waymo LLC,AVT003,2C4RC1K70HR534695,0,146.3,241.7,820,58.6,0,0,0,0,0,0,0,0,1266.6,,,,,
Waymo LLC,AVT003,2C4RC1K77HR534693,0,87.6,95.2,353,342.1,0,0,107.6,0,0,0,98.7,593.4,1677.6,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534653,0,0,412.7,525.7,239.5,0,0,0,1075.9,1064.6,1425.2,177.3,280.5,5201.4,,,,,
Waymo LLC,AVT003,2C4RC1K71HR534673,0,650.3,997.5,1024.3,215.5,0,0,0,0,0,0,0,0,2887.6,,,,,
Waymo LLC,AVT003,2C4RC1K76HR534698,1,923.5,607.7,269.7,408.2,0,0,59.9,0,0,0,65.1,610.5,2944.6,,,,,
Waymo LLC,AVT003,2C4RC1K75HR534658,0,148.8,0,0,0,0,0,0,0,0,0,0,0,148.8,,,,,
Waymo LLC,AVT003,2C4RC1K75HR534708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
