Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,ANNUALTOTAL
"Aurora Innovation, Inc.",AVT037,3LN6L5LUHR650656,39,313.97,566.57,915.64,384.26,380.45,197.37,106.96,107.42,87.58,198.51,712.08,486.59,4457.4
"Aurora Innovation, Inc.",AVT037,3LN6L5MU6HR643536,26,74.3,2.77,42.91,22.82,77.08,118.52,105.57,127.26,120.71,220.94,473.76,389.07,1775.71
"Aurora Innovation, Inc.",AVT037,3LN6L5MU1HR646151,30,550.16,693.29,993.57,430.53,135.41,284.12,126.7,190.46,12.25,68.76,224.45,245.85,3955.55
"Aurora Innovation, Inc.",AVT037,3LN6L5MU8HR644610,20,193.53,0,1.34,281.31,102.62,56.23,1.36,1.85,41.98,134.42,470.5,113.21,1398.35
"Aurora Innovation, Inc.",AVT037,3LN6L5LUOHR664920,25,16.61,37.93,255.39,23.65,94.81,320.46,84.29,207.07,169.78,30.86,130.36,146.56,1517.77
"Aurora Innovation, Inc.",AVT037,WVWPR7AU6HW953903,1,26.41,288,10.3,0,0,0,0,0,0,0,0,0,324.71
"AutoX Technologies, Inc.",AVT021,3LN6L5LU5HR622291,0,208,175,132,1718,1634,1196,0,0,0,0,0,0,5063
"AutoX Technologies, Inc.",AVT021,3LN6L5MU9HR630361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AutoX Technologies, Inc.",AVT021,3LN6L5LU1HR637709,0,167,193,160,493,1249,1353,1487,1534,1227,925,586,748,10122
"AutoX Technologies, Inc.",AVT021,3LN6L5MU9JR614778,0,54,78,102,745,732,648,724,692,635,701,718,794,6623
"AutoX Technologies, Inc.",AVT021,3LN6L5MU5JR618391,2,15,35,159,104,78,106,393,1100,1018,1365,507,929,5809
"AutoX Technologies, Inc.",AVT021,3LN6L5MUXJR626177,1,0,0,0,0,0,0,0,822,534,927,318,543,3144
"AutoX Technologies, Inc.",AVT021,3LN6L5MU8JR628090,0,0,0,0,0,0,40,79,81,50,85,120,121,576
"AutoX Technologies, Inc.",AVT021,2C4RC1N73JR229418,0,34,73,47,85,78,36,53,67,62,59,75,48,717
Baidu USA LLC,AVT015,3LN6L2LU4GR629715,1,0,0,0,0,0,877.1,2771.8,4109.2,2929.3,5314.2,6295.2,5570.6,27867.4
Baidu USA LLC,AVT015,3LN6L2LU5GR607996,1,3.9,0,0,18.6,14.5,19.2,0.4,0,0,0,0,0,56.6
Baidu USA LLC,AVT015,3LN6L5LU1HR627987,2,606.1,920,923.5,1384.3,1694.5,3572.1,3425.5,4198.5,5694.6,4537,5573.5,4116.4,36646
Baidu USA LLC,AVT015,3LN6L5LU2HR615153,2,1446.7,1934.5,2126.5,2178.1,3041.4,4314.4,2389.4,4838.7,4390.6,6117.3,5940,5012.6,43730.2
BMW of North America,AVT009,WBA7E21060G409246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW of North America,AVT009,WBA7E21060G410008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW of North America,AVT009,WBA7E21050G412347,7,0,0,0,0,0,0,0,0,0,0,0,6.8,6.8
BMW of North America,AVT009,WBA7E21080G412861,1,0,0,0,0,0,0,0,0,0,0,0,14.56,14.56
BMW of North America,AVT009,WBA7E2C53GGD99815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVT008,5G21A6S00K40115EX,0,1448.099543,1905.807277,1336.326154,1049.022568,29.45163451,1544.470853,1408.157482,262.8861806,0,0,0,0,8984.221693
CRUISE LLC,AVT008,5G21A6S08K40117EX,0,1403.993859,420.8975597,0,0,1487.829403,1696.723807,222.6167037,0,0,0,0,0,5232.061332
CRUISE LLC,AVT008,5G21A6S05K40102EX,2,1318.160873,1693.422611,1318.670954,490.6844279,1686.842844,1693.421708,1035.537428,247.2588668,93.12500952,0,0,0,9577.124722
CRUISE LLC,AVT008,5G21A6S05K40050EX,1,1296.641375,767.6138859,128.1594636,202.4514685,896.7874448,746.0235073,566.2555255,0,0,0,0,0,4603.932671
CRUISE LLC,AVT008,5G21A6S00K40109EX,1,1270.480424,1930.566032,466.9868937,37.76861224,796.8174107,1852.106433,1400.965274,544.397811,0,0,0,0,8300.08889
CRUISE LLC,AVT008,5G21A6S00K40092EX,0,1267.6379,1517.538177,1213.499577,1257.080557,1161.603031,837.5356663,853.5529009,0,0,0,0,0,8108.447809
CRUISE LLC,AVT008,5G21A6S01K40020EX,0,1248.526396,577.5471891,1100.845123,120.1074683,0,1057.158642,238.4376409,0,0,0,0,0,4342.622459
CRUISE LLC,AVT008,5G21A6S07K40108EX,0,1187.036404,1135.828005,1341.907385,1081.206555,1577.175682,831.4321828,1514.573395,422.6666066,0,0,0,0,9091.826216
